Which function serializes a QuantumCircuit into an OpenQASM 3 **string**?,qiskit.qasm3.dump,qiskit.qasm3.dumps,qiskit.qasm3.load,qiskit.qasm3.loads,qiskit.qasm3.dumps,`dumps()` returns a Python string; `dump()` writes to a file-like stream.
Which parameter of qiskit.qasm3.dump specifies the destination to write the QASM3 output?,circuit,stream,indent,includes,stream,"`dump(circuit, stream, **kwargs)` writes to a file-like object via the `stream` parameter."
What object is the primary configurable interface for exporting multiple circuits to OpenQASM 3?,qiskit.qasm3.Exporter,qiskit.qasm3.Dumper,qiskit.qasm3.Parser,qiskit.qasm3.Session,qiskit.qasm3.Exporter,Exporter is the main class; dump/dumps are single-use wrappers around it.
"In Exporter, which argument lists file names that should be emitted as OpenQASM 3 includes?",basis_gates,includes,implicit_defcals,annotation_handlers,includes,`includes` controls emitted include filenames like `stdgates.inc`.
"By default, which include does Exporter understand the gates for?",mygates.inc,stdgates.inc,control.inc,calibrations.inc,stdgates.inc,Note notes that only the standard-library file `stdgates.inc` is properly understood.
Which Exporter argument names the backend's basic gate set to avoid redundant gate definitions?,basis_gates,allow_aliasing,disable_constants,indent,basis_gates,Provide gate names so the exporter doesn't emit separate `gate` definitions.
What does Exporter’s disable_constants=True do?,Forbids pi in QASM,Always emits floating literals instead of using constants like pi/tau,Disables custom gates,Removes indentation,Always emits floating literals instead of using constants like pi/tau,When False (default) values near multiples of pi/euler/tau are expressed with those constants.
Which pair of parameters controls whether classical bits may belong to more than one register?,basis_gates and includes,allow_aliasing and alias_classical_registers,indent and disable_constants,experimental and implicit_defcals,allow_aliasing and alias_classical_registers,Both mention aliasing; `allow_aliasing` supersedes `alias_classical_registers`.
Which Exporter method returns the OpenQASM 3 program as a string?,to_string(),dumps(),dump(),serialize(),dumps(),`Exporter.dumps(circuit)` returns a string; `dump` writes to a stream.
Which exception is raised on exporter failures?,QASM3ImporterError,QASM3ExporterError,RuntimeJobError,OpenQASMError,QASM3ExporterError,All exporter interfaces raise `QASM3ExporterError` on failure.
Which enum flag enables legacy switch-case V1 syntax during export?,ExperimentalFeatures.SWITCH_CASE_V1,ExperimentalFeatures.SWITCH,Experimental.SWITCH_CASE,Features.SWITCH_CASE_V1,ExperimentalFeatures.SWITCH_CASE_V1,Set via `experimental=` in dump/dumps to use early switch-case syntax.
How do you enable multiple experimental export features at once?,Pass a list to experimental,Set experimental=True,Combine flags with bitwise OR `|`,Use a comma-separated string,Combine flags with bitwise OR `|`,The docs specify combining feature flags as `flag1 | flag2`.
Which functions import OpenQASM 3 into QuantumCircuit using the ANTLR-based reference parser?,dump and dumps,load and loads,load_experimental and loads_experimental,parse and parse_string,load and loads,`load()` reads from a filename; `loads()` reads from a string.
What extra package is required to use qiskit.qasm3.load and loads during the exploratory period?,qiskit-aer,qiskit-qasm3-export,qiskit_qasm3_import,qiskit-terra-import,qiskit_qasm3_import,Must install `qiskit[qasm3-import]` which brings `qiskit_qasm3_import`.
Which parameter in load/loads can expand circuits to a specified width for target backends?,num_qubits,include_path,basis_gates,experimental,num_qubits,`num_qubits` sets the number of physical/virtual qubits for the imported circuit.
What error can loads raise if the imported program uses more qubits than provided via num_qubits?,QASM3ExporterError,ValueError,TypeError,RuntimeError,ValueError,Docs state `loads()` may raise ValueError if program needs more qubits than `num_qubits`.
Which parameter for load/loads maps namespaces to serializers for annotations (requires qiskit_qasm3_import>=0.6.0)?,implicit_defcals,annotation_handlers,custom_gates,includes,annotation_handlers,The note states `annotation_handlers` requires qiskit_qasm3_import>=0.6.0.
Which pair are the **native experimental** import functions (Rust parser)?,load and loads,load_native and loads_native,load_experimental and loads_experimental,parse and parse_experimental,load_experimental and loads_experimental,These are faster but with reduced feature set; they emit ExperimentalWarning.
Which parameter supplies Python constructors for particular named gates to the experimental importer?,annotation_handlers,custom_gates,basis_gates,implicit_defcals,custom_gates,`custom_gates` is an iterable of `CustomGate` objects describing construction.
What does include_path do for the experimental importers?,Controls QASM indentation,Specifies search paths for include statements,Sets default qubit count,Selects exporter feature flags,Specifies search paths for include statements,`include_path` is an iterable of paths tried in order when resolving `include`.
Which attribute of CustomGate is the callable that returns a qiskit.circuit.Gate?,name,constructor,num_params,num_qubits,constructor,CustomGate.constructor is a callable taking `num_params` angles and returning a `Gate`.
What is qiskit.qasm3.STDGATES_INC_GATES?,A function to include stdgates,A tuple of CustomGate specs for stdgates.inc,A list of file paths,An enum of features,A tuple of CustomGate specs for stdgates.inc,It contains CustomGate objects mapping stdgates.inc names to Qiskit constructors.
What warning do the experimental importer functions emit by default?,ExperimentalWarning,DeprecationWarning,RuntimeWarning,UserWarning,ExperimentalWarning,Docs show how to filter `ExperimentalWarning` for `qiskit.qasm3`.
Which statement about Exporter aliasing parameters is correct?,alias_classical_registers overrides allow_aliasing,allow_aliasing overrides alias_classical_registers,They are identical,Neither affects output,allow_aliasing overrides alias_classical_registers,Docs: a value for `allow_aliasing` supersedes `alias_classical_registers`.
What does Exporter.implicit_defcals allow you to do?,Insert Pauli twirling,Specify defcal semantics for named instructions,Auto-generate measurement,Inline stdgates,Specify defcal semantics for named instructions,Maps Instruction.name to DefcalInstruction so exporter emits as if a `defcal` exists.
Which export call would **write** QASM 3 for `qc` to a file path `prog.qasm`?,"qasm3.dumps(qc, includes=['stdgates.inc'])","with open('prog.qasm','w') as f: qasm3.dump(qc, f)",qasm3.load('prog.qasm'),"qasm3.Exporter().dumps(qc, 'prog.qasm')","with open('prog.qasm','w') as f: qasm3.dump(qc, f)",`dump` needs a stream; open the file and pass the handle.
Which import call uses the fast Rust parser on a string `src` with custom gates?,"qasm3.loads(src, custom_gates=gates)","qasm3.loads_experimental(src, custom_gates=gates)","qasm3.load(src, custom_gates=gates)","qasm3.load_experimental(src, custom_gates=gates)","qasm3.loads_experimental(src, custom_gates=gates)",The experimental string-based function is `loads_experimental`.
"If you want exporter numeric parameters to prefer multiples of pi/tau rather than floats, what should disable_constants be?",True,False,None,Unset,False,False is the default; it emits values near multiples of pi/euler/tau using those constants.
What does qiskit.qasm3.load return on success?,A string of OpenQASM 3,A list of tokens,A QuantumCircuit,A PrimitiveResult,A QuantumCircuit,Both `load` and `loads` return a `QuantumCircuit`.
